credit_score,salary,loan_amount,experience_years,company_stability,education_level,college_tier,device_age_days,email_age_years,upi_usage,phone_verified,linkedin_skills_count,linkedin_verified,vpn_usage,multiple_devices,disposable_email,impossible_login,job_stability_score,education_score,linkedin_score,device_trust_score,email_trust_score,default
402,114455,26556,1,7,5,3,190,9,1,1,49,1,0,0,0,0,4.6000000000000005,8.5,10.0,4.95,9.399999999999999,0
735,218919,69471,9,6,3,3,591,13,1,1,46,1,0,0,0,0,7.199999999999999,5.5,10.0,6.955,10.0,0
570,191065,54855,12,7,2,1,274,10,2,1,12,0,0,0,0,0,9.0,6.0,4.2,5.37,10.0,0
406,195405,54086,17,5,3,3,725,2,2,1,6,1,0,0,0,0,9.8,5.5,7.300000000000001,7.625,5.2,0
371,209937,23907,22,4,1,3,691,0,1,1,34,1,0,0,0,0,10.0,2.5,10.0,7.455,4.0,0
320,230168,76695,10,7,2,2,304,1,2,1,43,1,0,0,0,0,8.2,5.0,10.0,5.52,4.6,0
421,69756,53487,12,3,5,3,974,1,1,1,25,1,0,0,0,0,6.6000000000000005,8.5,9.15,8.870000000000001,4.6,0
766,142863,34158,18,7,2,2,899,7,1,1,49,1,0,0,0,0,10.0,5.0,10.0,8.495000000000001,8.2,0
514,81192,25293,23,2,3,3,256,3,1,1,8,1,1,0,0,0,10.0,5.5,8.8,5.28,5.8,0
630,211758,50761,24,8,2,3,433,2,2,1,34,1,0,0,0,0,10.0,4.0,10.0,6.165,5.2,0
758,68733,38387,23,6,3,2,68,3,2,1,23,1,0,0,0,0,10.0,6.5,10.0,4.34,5.8,0
387,45993,45750,21,3,2,3,821,9,1,1,32,1,0,0,0,0,10.0,4.0,10.0,8.105,9.399999999999999,0
672,181564,73602,4,3,2,3,842,0,0,1,20,1,0,0,0,0,3.4,4.0,6.8,8.21,4.0,0
399,172053,26256,2,5,5,3,467,0,1,1,21,1,0,0,1,0,3.8,8.5,6.55,6.335,1.0,0
430,44143,10594,18,3,1,2,20,4,0,1,38,0,0,0,0,0,9.0,3.5,9.3,4.1,6.4,0
608,228675,7460,22,6,3,1,356,6,2,1,18,1,0,0,0,0,10.0,7.5,10.0,5.78,7.6,0
